period,industry,export_usd_100m,yoy
2026-07,반도체,410.1,178.8
2026-07,자동차,62.4,7.0
2026-07,자동차부품,19.5,2.2
2026-07,석유제품,56.8,34.1
2026-07,석유화학,41.8,10.3
2026-07,일반기계,45.3,5.9
2026-07,철강,23.6,4.4
2026-07,선박,32.9,46.9
2026-07,무선통신기기,18.1,51.0
2026-07,디스플레이,16.1,2.4
2026-07,섬유,9.3,3.5
2026-07,가전,6.1,-4.1
2026-07,컴퓨터,47.9,404.0
2026-07,바이오헬스,15.7,30.4
2026-07,이차전지,6.8,17.2
2026-07,전기기기,17.9,13.9
2026-07,농수산식품,10.9,2.3
2026-07,화장품,13.5,37.8
2026-07,생활용품,8.2,14.2
2026-07,비철금속,17.3,23.9
