industry_code,industry_name,mti_prefixes,display_order,source_note
SEMICON,반도체,831,1,산업통상부 2026 MTI 개편
AUTO,자동차,741,2,산업통상부 2026 MTI 개편
PETRO_PRODUCT,석유제품,133,3,산업통상부 2026 MTI 개편
PETROCHEM,석유화학,21,4,산업통상부 2026 MTI 개편
MACHINERY,일반기계,71|72|75|76,5,산업통상부 2026 MTI 개편
STEEL,철강,61,6,산업통상부 2026 MTI 개편
SHIP,선박,746,7,산업통상부 2026 MTI 개편
AUTO_PARTS,자동차부품,742,8,산업통상부 2026 MTI 개편
WIRELESS,무선통신기기,812,9,산업통상부 2026 MTI 개편
DISPLAY,디스플레이,8371,10,산업통상부 2026 MTI 개편
TEXTILE,섬유,4,11,산업통상부 2026 MTI 개편
APPLIANCE,가전,82,12,산업통상부 2026 MTI 개편
COMPUTER,컴퓨터,813,13,산업통상부 2026 MTI 개편
BIOHEALTH,바이오헬스,93,14,산업통상부 2026 MTI 개편
BATTERY,이차전지,8361,15,산업통상부 2026 MTI 개편
AGRIFOOD,농수산식품,0,16,산업통상부 2026 MTI 개편
COSMETICS,화장품,2273,17,산업통상부 2026 MTI 개편
ELECTRICAL,전기기기,84,18,산업통상부 2026 MTI 개편
NONFERROUS,비철금속,62,19,산업통상부 2026 MTI 개편
LIVING,생활용품,5,20,산업통상부 2026 MTI 개편
