period,industry_code,industry_name,export_usd,import_usd,balance_usd,source
2022-01,AGRIFOOD,농수산식품,840475118.0,4069743246.0,-3229268128.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,APPLIANCE,가전,738405717.0,799606628.0,-61200911.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,AUTO,자동차,4088937789.0,913170421.0,3175767368.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,AUTO_PARTS,자동차부품,2055188380.0,481162622.0,1574025758.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,BATTERY,이차전지,727392690.0,379481538.0,347911152.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,BIOHEALTH,바이오헬스,1668236484.0,1811718603.0,-143482119.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,COMPUTER,컴퓨터,1435349303.0,1837115722.0,-401766419.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,COSMETICS,화장품,564882826.0,127577515.0,437305311.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,DISPLAY,디스플레이,1992056853.0,320944852.0,1671112001.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,ELECTRICAL,전기기기,1038678291.0,1258537138.0,-219858847.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,LIVING,생활용품,667982627.0,1265246810.0,-597264183.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,MACHINERY,일반기계,4587888762.0,2474504632.0,2113384130.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,NONFERROUS,비철금속,1353327908.0,2130465478.0,-777137570.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,PETROCHEM,석유화학,4921964940.0,1183152052.0,3738812888.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,PETRO_PRODUCT,석유제품,3681158358.0,2214476516.0,1466681842.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,SEMICON,반도체,10816404634.0,5740623487.0,5075781147.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,SHIP,선박,770170786.0,415482819.0,354687967.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,STEEL,철강,3033985311.0,1120355815.0,1913629496.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,TEXTILE,섬유,1180206855.0,2452430415.0,-1272223560.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-01,WIRELESS,무선통신기기,1350522321.0,1009570235.0,340952086.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
2022-02,AGRIFOOD,농수산식품,810787977.0,3587441742.0,-2776653765.0,관세청 HSK 실적·2026 MTI-HSK 연계 집계
