period,export_usd,import_usd,balance_usd,export_count,import_count,source
2021-08,53165103786.0,51581092948.0,1584010838.0,1122015,3180345,관세청 수출입총괄
2021-09,55913862375.0,51636341037.0,4277521338.0,1502399,3199940,관세청 수출입총괄
2021-10,55660372637.0,53847824499.0,1812548138.0,1104157,3356096,관세청 수출입총괄
2021-11,60330542263.0,57357549236.0,2972993027.0,1535829,3418506,관세청 수출입총괄
2021-12,60734116670.0,61159670671.0,-425554001.0,1322594,3657650,관세청 수출입총괄
2022-01,55455375923.0,60606720651.0,-5151344728.0,1099657,3434132,관세청 수출입총괄
2022-02,54155835174.0,53482053658.0,673781516.0,1017223,3131841,관세청 수출입총괄
2022-03,63786834790.0,63811102159.0,-24267369.0,1402774,3543893,관세청 수출입총괄
2022-04,57842816378.0,60213185138.0,-2370368760.0,1026850,3398506,관세청 수출입총괄
2022-05,61591326414.0,63168379870.0,-1577053456.0,1100468,3365873,관세청 수출입총괄
2022-06,57679934233.0,60149905944.0,-2469971711.0,1241223,3348993,관세청 수출입총괄
2022-07,60241774055.0,65259837773.0,-5018063718.0,987619,3418441,관세청 수출입총괄
2022-08,56605950185.0,66027733092.0,-9421782907.0,1121892,3391099,관세청 수출입총괄
2022-09,57176299956.0,61012837107.0,-3836537151.0,1130411,3286725,관세청 수출입총괄
2022-10,52428091564.0,59167185294.0,-6739093730.0,1020990,3325265,관세청 수출입총괄
2022-11,51771855225.0,58847654502.0,-7075799277.0,1220043,3550752,관세청 수출입총괄
2022-12,54848665929.0,59623061690.0,-4774395761.0,1084849,3491883,관세청 수출입총괄
2023-01,46339145202.0,59037258670.0,-12698113468.0,898445,3286710,관세청 수출입총괄
2023-02,49994592894.0,55370497927.0,-5375905033.0,932903,3306771,관세청 수출입총괄
2023-03,54882484169.0,59635920268.0,-4753436099.0,1076334,3713236,관세청 수출입총괄
2023-04,49430879351.0,51940136654.0,-2509257303.0,891503,3469134,관세청 수출입총괄
2023-05,52054194622.0,54251194151.0,-2196999529.0,905038,3583435,관세청 수출입총괄
2023-06,54297753717.0,53055480023.0,1242273694.0,1017356,3572062,관세청 수출입총괄
2023-07,50457775880.0,48738113632.0,1719662248.0,903488,3677608,관세청 수출입총괄
2023-08,51994073841.0,51009758152.0,984315689.0,936778,3687493,관세청 수출입총괄
2023-09,54650691297.0,50972524564.0,3678166733.0,1013530,3621292,관세청 수출입총괄
2023-10,54989950051.0,53440582476.0,1549367575.0,945046,3963093,관세청 수출입총괄
2023-11,55561090016.0,51997805276.0,3563284740.0,1137959,4123915,관세청 수출입총괄
2023-12,57573192986.0,53122854463.0,4450338523.0,1040051,4198705,관세청 수출입총괄
2024-01,54709823073.0,54474610524.0,235212549.0,1035551,4276442,관세청 수출입총괄
2024-02,52076389862.0,48221860363.0,3854529499.0,906528,3659530,관세청 수출입총괄
2024-03,56518308769.0,52112904954.0,4405403815.0,1018882,4614926,관세청 수출입총괄
2024-04,56148299060.0,54821181339.0,1327117721.0,1012749,4396142,관세청 수출입총괄
2024-05,58020557065.0,53132937272.0,4887619793.0,1038452,4430186,관세청 수출입총괄
2024-06,57341633896.0,49090193125.0,8251440771.0,1015654,4008321,관세청 수출입총괄
2024-07,57458787682.0,53838741739.0,3620045943.0,1111979,4361845,관세청 수출입총괄
2024-08,57642924137.0,54054893987.0,3588030150.0,971248,4219404,관세청 수출입총괄
2024-09,58544693213.0,52102924796.0,6441768417.0,1151289,4244016,관세청 수출입총괄
2024-10,57500192431.0,54331588594.0,3168603837.0,1020830,4672638,관세청 수출입총괄
2024-11,56288629120.0,50718992333.0,5569636787.0,1221469,4595519,관세청 수출입총괄
2024-12,61359249829.0,54866379965.0,6492869864.0,1135404,4668507,관세청 수출입총괄
2025-01,49176984042.0,51172291846.0,-1995307804.0,924441,3847092,관세청 수출입총괄
2025-02,52292301495.0,48328741427.0,3963560068.0,1014431,3982365,관세청 수출입총괄
2025-03,58064561820.0,53341031994.0,4723529826.0,1236266,4558238,관세청 수출입총괄
2025-04,58035745123.0,53232716112.0,4803029011.0,1088160,4601632,관세청 수출입총괄
2025-05,57261062502.0,50345116057.0,6915946445.0,1034785,4586252,관세청 수출입총괄
2025-06,59833796879.0,50825746231.0,9008050648.0,1328545,4272361,관세청 수출입총괄
2025-07,60724322143.0,54210371017.0,6513951126.0,1177196,4754616,관세청 수출입총괄
2025-08,58259331990.0,51856623620.0,6402708370.0,1058881,4524180,관세청 수출입총괄
2025-09,65904118036.0,56419613707.0,9484504329.0,1451822,4986893,관세청 수출입총괄
2025-10,59511577956.0,53510827001.0,6000750955.0,1040165,4655160,관세청 수출입총괄
2025-11,60752618324.0,51284604863.0,9468013461.0,1152460,4883281,관세청 수출입총괄
2025-12,69513624492.0,57367683791.0,12145940701.0,1275309,4883706,관세청 수출입총괄
2026-01,65843936782.0,57143468789.0,8700467993.0,1027989,4936713,관세청 수출입총괄
2026-02,67642546892.0,51933913038.0,15708633854.0,970132,4102805,관세청 수출입총괄
2026-03,87333127845.0,60753445562.0,26579682283.0,1439801,5237532,관세청 수출입총괄
2026-04,85751882817.0,62104907661.0,23646975156.0,1130727,5105811,관세청 수출입총괄
2026-05,87576083100.0,60748350022.0,26827733078.0,993936,4874306,관세청 수출입총괄
2026-06,101956159193.0,66051585858.0,35904573335.0,1245865,5044182,관세청 수출입총괄
2026-07,98959098818.0,68567473420.0,30391625398.0,1111934,5158848,관세청 수출입총괄
