period,region_code,region_name,export_usd,import_usd,balance_usd,source
2021-08,ASEAN,아세안,8918222078.0,5661597045.0,3256625033.0,관세청 국가별 수출입실적 집계
2021-08,CIS,CIS,961126585.0,1862212620.0,-901086035.0,관세청 국가별 수출입실적 집계
2021-08,CN,중국,13881327880.0,11731429287.0,2149898593.0,관세청 국가별 수출입실적 집계
2021-08,EU27,EU(27),5035500079.0,5210517109.0,-175017030.0,관세청 국가별 수출입실적 집계
2021-08,IN,인도,1285755417.0,737522587.0,548232830.0,관세청 국가별 수출입실적 집계
2021-08,JP,일본,2522980082.0,4454302301.0,-1931322219.0,관세청 국가별 수출입실적 집계
2021-08,LATAM,중남미,2102829418.0,2165210885.0,-62381467.0,관세청 국가별 수출입실적 집계
2021-08,MIDDLE_EAST,중동,1779982251.0,5554380287.0,-3774398036.0,관세청 국가별 수출입실적 집계
2021-08,US,미국,7704223847.0,6210231515.0,1493992332.0,관세청 국가별 수출입실적 집계
2021-09,ASEAN,아세안,9609771256.0,5766155763.0,3843615493.0,관세청 국가별 수출입실적 집계
2021-09,CIS,CIS,1386051573.0,1733821797.0,-347770224.0,관세청 국가별 수출입실적 집계
2021-09,CN,중국,14291980345.0,11409467110.0,2882513235.0,관세청 국가별 수출입실적 집계
2021-09,EU27,EU(27),5459806812.0,5310873104.0,148933708.0,관세청 국가별 수출입실적 집계
2021-09,IN,인도,1493610973.0,765523706.0,728087267.0,관세청 국가별 수출입실적 집계
2021-09,JP,일본,2541017857.0,4649135416.0,-2108117559.0,관세청 국가별 수출입실적 집계
2021-09,LATAM,중남미,1998820892.0,2109140843.0,-110319951.0,관세청 국가별 수출입실적 집계
2021-09,MIDDLE_EAST,중동,1815540983.0,5304318085.0,-3488777102.0,관세청 국가별 수출입실적 집계
2021-09,US,미국,7983934107.0,5959730391.0,2024203716.0,관세청 국가별 수출입실적 집계
2021-10,ASEAN,아세안,9786035173.0,5815204270.0,3970830903.0,관세청 국가별 수출입실적 집계
2021-10,CIS,CIS,1132170019.0,1888911588.0,-756741569.0,관세청 국가별 수출입실적 집계
2021-10,CN,중국,14415867215.0,11984638723.0,2431228492.0,관세청 국가별 수출입실적 집계
2021-10,EU27,EU(27),5088834818.0,5372044354.0,-283209536.0,관세청 국가별 수출입실적 집계
2021-10,IN,인도,1401204630.0,741357156.0,659847474.0,관세청 국가별 수출입실적 집계
2021-10,JP,일본,2614683864.0,4696430129.0,-2081746265.0,관세청 국가별 수출입실적 집계
2021-10,LATAM,중남미,2429006815.0,2682879153.0,-253872338.0,관세청 국가별 수출입실적 집계
2021-10,MIDDLE_EAST,중동,2125191806.0,6082572156.0,-3957380350.0,관세청 국가별 수출입실적 집계
2021-10,US,미국,8066782602.0,5995841131.0,2070941471.0,관세청 국가별 수출입실적 집계
2021-11,ASEAN,아세안,10540727462.0,5745614261.0,4795113201.0,관세청 국가별 수출입실적 집계
2021-11,CIS,CIS,1232439623.0,2504036962.0,-1271597339.0,관세청 국가별 수출입실적 집계
2021-11,CN,중국,15272549044.0,13663761395.0,1608787649.0,관세청 국가별 수출입실적 집계
2021-11,EU27,EU(27),5299695224.0,5060101537.0,239593687.0,관세청 국가별 수출입실적 집계
2021-11,IN,인도,1473320133.0,791820668.0,681499465.0,관세청 국가별 수출입실적 집계
2021-11,JP,일본,2813250497.0,4863815885.0,-2050565388.0,관세청 국가별 수출입실적 집계
2021-11,LATAM,중남미,2200868266.0,2526759241.0,-325890975.0,관세청 국가별 수출입실적 집계
2021-11,MIDDLE_EAST,중동,1895126747.0,6653293653.0,-4758166906.0,관세청 국가별 수출입실적 집계
2021-11,US,미국,8133640339.0,6640496024.0,1493144315.0,관세청 국가별 수출입실적 집계
2021-12,ASEAN,아세안,11240376584.0,6552846784.0,4687529800.0,관세청 국가별 수출입실적 집계
2021-12,CIS,CIS,1438831380.0,2225180468.0,-786349088.0,관세청 국가별 수출입실적 집계
2021-12,CN,중국,15342562681.0,13829108559.0,1513454122.0,관세청 국가별 수출입실적 집계
2021-12,EU27,EU(27),5972453793.0,6699505310.0,-727051517.0,관세청 국가별 수출입실적 집계
2021-12,IN,인도,1314389970.0,743735513.0,570654457.0,관세청 국가별 수출입실적 집계
2021-12,JP,일본,2712571429.0,5130741601.0,-2418170172.0,관세청 국가별 수출입실적 집계
2021-12,LATAM,중남미,2016689091.0,2856011438.0,-839322347.0,관세청 국가별 수출입실적 집계
2021-12,MIDDLE_EAST,중동,2127549289.0,7862022849.0,-5734473560.0,관세청 국가별 수출입실적 집계
2021-12,US,미국,8787542044.0,5701577478.0,3085964566.0,관세청 국가별 수출입실적 집계
2022-01,ASEAN,아세안,10307102268.0,7203518958.0,3103583310.0,관세청 국가별 수출입실적 집계
2022-01,CIS,CIS,1120222343.0,2221761767.0,-1101539424.0,관세청 국가별 수출입실적 집계
2022-01,CN,중국,13369828912.0,13178863723.0,190965189.0,관세청 국가별 수출입실적 집계
2022-01,EU27,EU(27),5415309032.0,5023340550.0,391968482.0,관세청 국가별 수출입실적 집계
2022-01,IN,인도,1465042670.0,695029987.0,770012683.0,관세청 국가별 수출입실적 집계
2022-01,JP,일본,2617191374.0,4457191797.0,-1840000423.0,관세청 국가별 수출입실적 집계
2022-01,LATAM,중남미,2249554147.0,2698379935.0,-448825788.0,관세청 국가별 수출입실적 집계
2022-01,MIDDLE_EAST,중동,1956741929.0,7989693620.0,-6032951691.0,관세청 국가별 수출입실적 집계
2022-01,US,미국,8569920487.0,7105625425.0,1464295062.0,관세청 국가별 수출입실적 집계
2022-02,ASEAN,아세안,10087443046.0,6374808867.0,3712634179.0,관세청 국가별 수출입실적 집계
2022-02,CIS,CIS,1219444919.0,2076377270.0,-856932351.0,관세청 국가별 수출입실적 집계
2022-02,CN,중국,13042436185.0,10410116237.0,2632319948.0,관세청 국가별 수출입실적 집계
2022-02,EU27,EU(27),5480969758.0,5165116343.0,315853415.0,관세청 국가별 수출입실적 집계
2022-02,IN,인도,1351392450.0,732729700.0,618662750.0,관세청 국가별 수출입실적 집계
2022-02,JP,일본,2480974250.0,4713195373.0,-2232221123.0,관세청 국가별 수출입실적 집계
2022-02,LATAM,중남미,2250768874.0,2350568378.0,-99799504.0,관세청 국가별 수출입실적 집계
2022-02,MIDDLE_EAST,중동,1950058800.0,7095118156.0,-5145059356.0,관세청 국가별 수출입실적 집계
2022-02,US,미국,7740904909.0,5965124609.0,1775780300.0,관세청 국가별 수출입실적 집계
2022-03,ASEAN,아세안,12172282343.0,7574061687.0,4598220656.0,관세청 국가별 수출입실적 집계
2022-03,CIS,CIS,672526457.0,2351639203.0,-1679112746.0,관세청 국가별 수출입실적 집계
2022-03,CN,중국,15642332161.0,12626983606.0,3015348555.0,관세청 국가별 수출입실적 집계
2022-03,EU27,EU(27),6215615478.0,5860515189.0,355100289.0,관세청 국가별 수출입실적 집계
2022-03,IN,인도,1508012658.0,983453261.0,524559397.0,관세청 국가별 수출입실적 집계
2022-03,JP,일본,2775632071.0,5335419814.0,-2559787743.0,관세청 국가별 수출입실적 집계
2022-03,LATAM,중남미,2480288357.0,2757880481.0,-277592124.0,관세청 국가별 수출입실적 집계
2022-03,MIDDLE_EAST,중동,2121831762.0,8440913493.0,-6319081731.0,관세청 국가별 수출입실적 집계
2022-03,US,미국,9638756584.0,6996572373.0,2642184211.0,관세청 국가별 수출입실적 집계
2022-04,ASEAN,아세안,11261893147.0,6773978275.0,4487914872.0,관세청 국가별 수출입실적 집계
2022-04,CIS,CIS,606461525.0,2363582108.0,-1757120583.0,관세청 국가별 수출입실적 집계
2022-04,CN,중국,12949233745.0,12332267535.0,616966210.0,관세청 국가별 수출입실적 집계
2022-04,EU27,EU(27),5542786285.0,5515212666.0,27573619.0,관세청 국가별 수출입실적 집계
2022-04,IN,인도,1540594906.0,891258443.0,649336463.0,관세청 국가별 수출입실적 집계
2022-04,JP,일본,2624893550.0,4879907653.0,-2255014103.0,관세청 국가별 수출입실적 집계
